CustomerID,Lookalikes
C0001,"[('C0135', 1.0), ('C0118', 0.99), ('C0184', 0.98)]"
C0002,"[('C0131', 0.97), ('C0159', 0.95), ('C0029', 0.93)]"
C0003,"[('C0030', 1.0), ('C0189', 1.0), ('C0089', 0.99)]"
C0004,"[('C0053', 0.97), ('C0155', 0.96), ('C0023', 0.93)]"
C0005,"[('C0159', 1.0), ('C0199', 1.0), ('C0073', 0.99)]"
C0006,"[('C0136', 0.96), ('C0090', 0.95), ('C0084', 0.92)]"
C0007,"[('C0103', 1.0), ('C0038', 0.99), ('C0134', 0.98)]"
C0008,"[('C0090', 0.96), ('C0136', 0.94), ('C0124', 0.92)]"
C0009,"[('C0121', 0.99), ('C0128', 0.99), ('C0080', 0.95)]"
C0010,"[('C0197', 1.0), ('C0062', 0.99), ('C0132', 0.99)]"
C0011,"[('C0179', 0.98), ('C0107', 0.97), ('C0158', 0.94)]"
C0012,"[('C0093', 0.96), ('C0182', 0.93), ('C0022', 0.9)]"
C0013,"[('C0143', 0.97), ('C0051', 0.9), ('C0041', 0.89)]"
C0014,"[('C0097', 0.7), ('C0128', 0.61), ('C0151', 0.37)]"
C0015,"[('C0094', 0.98), ('C0121', 0.95), ('C0119', 0.92)]"
C0016,"[('C0183', 1.0), ('C0064', 0.96), ('C0194', 0.96)]"
C0017,"[('C0022', 0.99), ('C0126', 0.93), ('C0057', 0.9)]"
C0018,"[('C0105', 1.0), ('C0187', 0.96), ('C0182', 0.93)]"
C0019,"[('C0192', 0.99), ('C0088', 0.96), ('C0199', 0.95)]"
C0020,"[('C0110', 1.0), ('C0078', 0.84), ('C0060', 0.83)]"
